"Date","AbsoluteTime","Temperature"
"2013-06-14",3580156800,26.61
"2013-06-15",3580243200,21.28
"2013-06-16",3580329600,20.44
"2013-06-17",3580416000,23.28
"2013-06-18",3580502400,21.22
"2013-06-19",3580588800,23.94
"2013-06-20",3580675200,21.22
"2013-06-21",3580761600,21.44
"2013-06-22",3580848000,22.78
"2013-06-23",3580934400,22.39
"2013-06-24",3581020800,23.83
"2013-06-25",3581107200,22.39
"2013-06-26",3581193600,23.61
"2013-06-27",3581280000,26.17
"2013-06-28",3581366400,23.61
"2013-06-29",3581452800,24.67
"2013-06-30",3581539200,23.56
"2013-07-01",3581625600,22
"2013-07-02",3581712000,23.89
"2013-07-03",3581798400,24.72
"2013-07-04",3581884800,22.11
"2013-07-05",3581971200,21.89
"2013-07-06",3582057600,22
"2013-07-07",3582144000,22.56
"2013-07-08",3582230400,23.28
"2013-07-09",3582316800,23.67
"2013-07-10",3582403200,25.67
"2013-07-11",3582489600,24.67
"2013-07-12",3582576000,23.11
"2013-07-13",3582662400,23.33
"2013-07-14",3582748800,23.44
"2013-07-15",3582835200,23.83
"2013-07-16",3582921600,23
"2013-07-17",3583008000,23.06
"2013-07-18",3583094400,21.94
"2013-07-19",3583180800,24.44
"2013-07-20",3583267200,23.61
"2013-07-21",3583353600,22.83
"2013-07-22",3583440000,22
"2013-07-23",3583526400,23.72
"2013-07-24",3583612800,22
"2013-07-25",3583699200,24.22
"2013-07-26",3583785600,22.33
"2013-07-27",3583872000,24.11
"2013-07-28",3583958400,24.83
"2013-07-29",3584044800,22.89
"2013-07-30",3584131200,20.06
"2013-07-31",3584217600,24.28
"2013-08-01",3584304000,22.72
"2013-08-02",3584390400,23.11
"2013-08-03",3584476800,22.17
"2013-08-04",3584563200,24.94
"2013-08-05",3584649600,23.56
"2013-08-06",3584736000,24
"2013-08-07",3584822400,24.44
"2013-08-08",3584908800,23.78
"2013-08-09",3584995200,24.56
"2013-08-10",3585081600,25.83
"2013-08-11",3585168000,25.78
"2013-08-12",3585254400,26.17
"2013-08-13",3585340800,25.39
"2013-08-14",3585427200,24.78
"2013-08-15",3585513600,22.33
"2013-08-16",3585600000,20.67
"2013-08-17",3585686400,18.28
"2013-08-18",3585772800,21.39
"2013-08-19",3585859200,22
"2013-08-20",3585945600,22.94
"2013-08-21",3586032000,23.56
"2013-08-22",3586118400,24.22
"2013-08-23",3586204800,23.06
"2013-08-24",3586291200,25.11
"2013-08-25",3586377600,23.72
"2013-08-26",3586464000,18.67
"2013-08-27",3586550400,18.83
"2013-08-28",3586636800,22.56
"2013-08-29",3586723200,24.89
"2013-08-30",3586809600,26.06
"2013-08-31",3586896000,25.28
"2013-09-01",3586982400,24.56
"2013-09-02",3587068800,23.33
"2013-09-03",3587155200,22.61
"2013-09-04",3587241600,22.89
"2013-09-05",3587328000,22.17
"2013-09-06",3587414400,21.56
"2013-09-07",3587500800,21.22
"2013-09-08",3587587200,24.22
"2013-09-09",3587673600,22.61
"2013-09-10",3587760000,21.61
"2013-09-11",3587846400,21.33
"2013-09-12",3587932800,21.17
"2013-09-13",3588019200,24.5
"2013-09-14",3588105600,20.22
"2013-09-15",3588192000,21.56
"2013-09-16",3588278400,21
"2013-09-17",3588364800,19.22
"2013-09-18",3588451200,21.28
"2013-09-19",3588537600,17.5
"2013-09-20",3588624000,19
"2013-09-21",3588710400,21.89
"2013-09-22",3588796800,20
"2013-09-23",3588883200,16.11
"2013-09-24",3588969600,21.94
"2013-09-25",3589056000,18.83
"2013-09-26",3589142400,17.83
"2013-09-27",3589228800,19.61
"2013-09-28",3589315200,15.61
"2013-09-29",3589401600,13.72
"2013-09-30",3589488000,17.78
"2013-10-01",3589574400,19.39
"2013-10-02",3589660800,20.5
"2013-10-03",3589747200,22.06
"2013-10-04",3589833600,21.5
"2013-10-05",3589920000,22.17
"2013-10-06",3590006400,21.56
"2013-10-07",3590092800,18.61
"2013-10-08",3590179200,17.67
"2013-10-09",3590265600,18.72
"2013-10-10",3590352000,17.67
"2013-10-11",3590438400,18.67
"2013-10-12",3590524800,18.61
"2013-10-13",3590611200,19.22
"2013-10-14",3590697600,19.89
"2013-10-15",3590784000,19.11
"2013-10-16",3590870400,18.11
"2013-10-17",3590956800,19.5
"2013-10-18",3591043200,16.11
"2013-10-19",3591129600,14.56
"2013-10-20",3591216000,12.28
"2013-10-21",3591302400,8.06
"2013-10-22",3591388800,14.89
"2013-10-23",3591475200,12.61
"2013-10-24",3591561600,6.22
"2013-10-25",3591648000,8.28
"2013-10-26",3591734400,6.44
"2013-10-27",3591820800,10.83
"2013-10-28",3591907200,13.44
"2013-10-29",3591993600,13.39
"2013-10-30",3592080000,13.5
"2013-10-31",3592166400,15.72
"2013-11-01",3592252800,20.56
"2013-11-02",3592339200,14.33
"2013-11-03",3592425600,11.72
"2013-11-04",3592512000,6.06
"2013-11-05",3592598400,10.22
"2013-11-06",3592684800,12.28
"2013-11-07",3592771200,14.5
"2013-11-08",3592857600,6.78
"2013-11-09",3592944000,4.44
"2013-11-10",3593030400,9
"2013-11-11",3593116800,9.33
"2013-11-12",3593203200,6
"2013-11-13",3593289600,0.11
"2013-11-14",3593376000,-1.67
"2013-11-15",3593462400,6.33
"2013-11-16",3593548800,12
"2013-11-17",3593635200,15.94
"2013-11-18",3593721600,20.22
"2013-11-19",3593808000,11.22
"2013-11-20",3593894400,8.94
"2013-11-21",3593980800,11
"2013-11-22",3594067200,11.72
"2013-11-23",3594153600,13.17
"2013-11-24",3594240000,4.56
"2013-11-25",3594326400,-0.39
"2013-11-26",3594412800,4.5
"2013-11-27",3594499200,6
"2013-11-28",3594585600,-2.5
"2013-11-29",3594672000,-2
"2013-11-30",3594758400,1.11
"2013-12-01",3594844800,7.61
"2013-12-02",3594931200,6.83
"2013-12-03",3595017600,10.83
"2013-12-04",3595104000,16.39
"2013-12-05",3595190400,18.94
"2013-12-06",3595276800,20.78
"2013-12-07",3595363200,14.06
"2013-12-08",3595449600,7.5
